postal_code,city
380012,ahmedabad
382451,ahmedabad
380058,ahmedabad
382440,ahmedabad
380081,ahmedabad
382481,ahmedabad
382160,ahmedabad
380010,ahmedabad
380017,ahmedabad
382433,ahmedabad
380014,ahmedabad
380079,ahmedabad
380007,ahmedabad
382255,ahmedabad
382305,ahmedabad
382430,ahmedabad
382325,ahmedabad
382000,ahmedabad
380061,ahmedabad
380028,ahmedabad
380030,ahmedabad
380062,ahmedabad
380051,ahmedabad
380060,ahmedabad
380063,ahmedabad
380008,ahmedabad
380021,ahmedabad
380004,ahmedabad
380001,ahmedabad
148021,ahmedgarh
231301,ahraura
732121,aiho
247771,ailum
247767,ailum
247766,ailum
501537,ainapur
501522,ainapur
501501,ainapur
501507,ainapur
501535,ainapur
796009,aizawl
796471,aizawl
796008,aizawl
796161,aizawl
796001,aizawl
796004,aizawl
796025,aizawl
796005,aizawl
796010,aizawl
796190,aizawl
796070,aizawl
796441,aizawl
796370,aizawl
796007,aizawl
796017,aizawl
796181,aizawl
796012,aizawl
796006,aizawl
796014,aizawl
796186,aizawl
796015,aizwal
796321,aizwal
796230,aizwal
796075,aizwal
796081,aizwal
488220,ajaigarh
532552,ajjada
305812,ajmer
305630,ajmer
305926,ajmer
305405,ajmer
305416,ajmer
305202,ajmer
305203,ajmer
305600,ajmer
305912,ajmer
305007,ajmer
305816,ajmer
305005,ajmer
305014,ajmer
305408,ajmer
305204,ajmer
305025,ajmer
305004,ajmer
305017,ajmer
305003,ajmer
305624,ajmer
305811,ajmer
305207,ajmer
305008,ajmer
305201,ajmer
305928,ajmer
305628,ajmer
305206,ajmer
305922,ajmer
305924,ajmer
305813,ajmer
305023,ajmer
305402,ajmer
305012,ajmer
305024,ajmer
305415,ajmer
305629,ajmer
305001,ajmer
305622,ajmer
305818,ajmer
305009,ajmer
305820,ajmer
305923,ajmer
305088,ajmer
305819,ajmer
305407,ajmer
305406,ajmer
305412,ajmer
305205,ajmer
305623,ajmer
305006,ajmer
305016,ajmer
305814,ajmer
305401,ajmer
305927,ajmer
305002,ajmer
305625,ajmer
305021,ajmer
305627,ajmer
305815,ajmer
305621,ajmer
143102,ajnala
143112,ajnala
143114,ajnala
416505,ajra
148033,akalgarh
495552,akaltara
732216,akandaberia
209101,akbarpur
805128,akbarpur
534235,akividu
413218,akkalkot
413226,akkalkot
413256,akkalkot
413217,akkalkot
413252,akkalkot
413203,akkalkot
413227,akkalkot
413216,akkalkot
326006,aklera
326000,aklera
413101,akluj
477332,akoda
422667,akola
444556,akola
444121,akola
444508,akola
444311,akola
444421,akola
444401,akola
444111,akola
444007,akola
444117,akola
444122,akola
444112,akola
444109,akola
444005,akola
444104,akola
444407,akola
444027,akola
444403,akola
444404,akola
444124,akola
444011,akola
444405,akola
444409,akola
444123,akola
444003,akola
444125,akola
444402,akola
444126,akola
422601,akola
444006,akola
444000,akola
444118,akola
444002,akola
444107,akola
444302,akola
444004,akola
444115,akola
444038,akola
444106,akola
444041,akola
444511,akola
444502,akola
444102,akola
444101,akot
571151,aland
585314,aland
587131,aland
580117,aland
585240,aland
573225,aland
586113,aland
585302,aland
585274,aland
625548,alanganallur
622304,alangudi
622302,alangudi
622301,alangudi
627851,alangulam
626144,alangulam
627853,alangulam
626180,alangulam
608801,alapakkam
689723,alappuzha
688508,alappuzha
689122,alappuzha
690541,alappuzha
690537,alappuzha
688003,alappuzha
689515,alappuzha
690552,alappuzha
690516,alappuzha
688548,alappuzha
688035,alappuzha
689533,alappuzha
688543,alappuzha
688581,alappuzha
689626,alappuzha
688556,alappuzha
690107,alappuzha
689576,alappuzha
688586,alappuzha
689721,alappuzha
688583,alappuzha
688547,alappuzha
688013,alappuzha
688504,alappuzha
689621,alappuzha
688503,alappuzha
688546,alappuzha
690529,alappuzha
689512,alappuzha
688507,alappuzha
688557,alappuzha
690513,alappuzha
689586,alappuzha
688522,alappuzha
690566,alappuzha
690501,alappuzha
688559,alappuzha
688521,alappuzha
689600,alappuzha
690554,alappuzha
690556,alappuzha
689585,alappuzha
690549,alappuzha
690570,alappuzha
688550,alappuzha
690551,alappuzha
689531,alappuzha
689108,alappuzha
690108,alappuzha
689123,alappuzha
689581,alappuzha
688573,alappuzha
688512,alappuzha
688545,alappuzha
688544,alappuzha
688005,alappuzha
688554,alappuzha
688009,alappuzha
689620,alappuzha
688542,alappuzha
690557,alappuzha
690560,alappuzha
690550,alappuzha
688563,alappuzha
688549,alappuzha
688505,alappuzha
688008,alappuzha
689622,alappuzha
688004,alappuzha
689555,alappuzha
688558,alappuzha
690581,alappuzha
688001,alappuzha
688006,alappuzha
689629,alappuzha
689577,alappuzha
688566,alappuzha
688564,alappuzha
689575,alappuzha
689125,alappuzha
689514,alappuzha
688010,alappuzha
688587,alappuzha
689627,alappuzha
690555,alappuzha
689623,alappuzha
690534,alappuzha
689573,alappuzha
688002,alappuzha
688511,alappuzha
690109,alappuzha
689722,alappuzha
688567,alappuzha
690514,alappuzha
690507,alappuzha
689630,alappuzha
688014,alappuzha
690571,alappuzha
688538,alappuzha
689598,alappuzha
688011,alappuzha
690530,alappuzha
690563,alappuzha
678572,alathur
678688,alathur
678706,alathur
678543,alathur
678545,alathur
678722,alathur
678681,alathur
678721,alathur
678684,alathur
678682,alathur
678686,alathur
678687,alathur
678705,alathur
678703,alathur
678546,alathur
678704,alathur
678544,alathur
678671,alathur
678574,alathur
678573,alathur
678702,alathur
678685,alathur
144306,alawalpur
144300,alawalpur
403508,aldona
402124,alibag
402118,alibag
402208,alibag
402101,alibag
402203,alibag
402207,alibag
402202,alibag
402205,alibag
402114,alibag
402108,alibag
402206,alibag
402402,alibag
410271,alibag
402111,alibag
402204,alibag
402404,alibag
402121,alibag
402209,alibag
402105,alibag
402405,alibag
402403,alibag
410256,alibag
402123,alibag
402333,alibag
402201,alibag
402113,alibag
243360,aliganj
243301,aliganj
207250,aliganj
243305,aliganj
207247,aliganj
207249,aliganj
202133,aligarh
202155,aligarh
202117,aligarh
202122,aligarh
202142,aligarh
202134,aligarh
202123,aligarh
202171,aligarh
202135,aligarh
202146,aligarh
202137,aligarh
202139,aligarh
202126,aligarh
202124,aligarh
202141,aligarh
204103,aligarh
202138,aligarh
202101,aligarh
212128,aligarh
202170,aligarh
202144,aligarh
204208,aligarh
202308,aligarh
204211,aligarh
202281,aligarh
202132,aligarh
204105,aligarh
204102,aligarh
202131,aligarh
204207,aligarh
202003,aligarh
202118,aligarh
202002,aligarh
202125,aligarh
204206,aligarh
202282,aligarh
202165,aligarh
207441,aligarh
202128,aligarh
202130,aligarh
202136,aligarh
202121,aligarh
202010,aligarh
205130,aligarh
202145,aligarh
202140,aligarh
202151,aligarh
202119,aligarh
204205,aligarh
202150,aligarh
204209,aligarh
202127,aligarh
204216,aligarh
204210,aligarh
202001,aligarh
204214,aligarh
202143,aligarh
204106,aligarh
204215,aligarh
743425,alipore
743272,alipore
743247,alipore
743180,alipore
743438,alipore
743179,alipore
743292,alipore
743273,alipore
743413,alipore
743186,alipore
743705,alipore
743437,alipore
743249,alipore
743130,alipore
743276,alipore
743297,alipore
743402,alipore
743378,alipore
743291,alipore
743250,alipore
743233,alipore
743422,alipore
743170,alipore
743226,alipore
743704,alipore
743120,alipore
743293,alipore
743703,alipore
743175,alipore
743436,alipore
743271,alipore
743275,alipore
743286,alipore
743274,alipore
743201,alipore
743710,alipore
743707,alipore
743442,alipore
